mfcc_mean,mfcc_std,rolloff,zero_crossing_mean,zero_crossing_std,contrust_mean,contrust_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,flatness_mean,flatness_std,stft_mean,stft_std,rms_mean,rms_std,poly_mean,poly_std
-12.63382831,16.83650571,1708.009576,0.05520521,0.026354739,24.50395964,4.827106321,966.8803726,395.1527454,1184.035066,347.7784507,0.019558288,0.13541524,0.238557522,0.255544505,0.034906078,0.024937967,0.353829653,0.310808695
-6.55594258,16.83928229,2746.682898,0.045786943,0.051714035,21.04207901,5.260957715,1516.038098,1344.468908,1864.239051,825.6832728,0.018093077,0.12493692,0.312497599,0.286853532,0.090098515,0.051274527,0.910108041,0.559714617
-7.036906451,15.08386908,3861.476343,0.05883938,0.037020492,20.79551165,4.787844711,2142.356719,1187.492765,2649.721291,1019.231947,0.002377895,0.011576599,0.316204421,0.298870904,0.052521683,0.03797978,0.533034578,0.348877016
0.558736951,14.9905441,3735.258498,0.051111812,0.021467631,21.00178926,4.691858994,1947.197809,677.78274,2434.717385,662.8457626,0.015115711,0.11892962,0.355348507,0.284614683,0.14342198,0.056472182,1.788486779,0.868833844
2.442480086,15.01910668,6108.519692,0.066082287,0.022596774,19.77634829,4.587280939,2925.853193,992.8531072,3505.841355,1023.776085,0.017597303,0.119370386,0.39099659,0.267785803,0.16092396,0.05946237,2.13548337,0.881495495
0.764205551,16.2515164,5199.69146,0.066317556,0.022374825,21.29889316,4.956010805,2760.210547,696.878456,3113.585662,717.8589007,0.017323539,0.123716004,0.34112234,0.294084011,0.18074265,0.053977646,2.271420893,0.778775429
4.078123182,13.05900498,5804.704222,0.068524023,0.020940565,19.98867335,4.220984119,2943.143236,768.5702167,3340.079814,760.1618476,0.013695184,0.10634646,0.345331201,0.279451012,0.1668737,0.04917907,2.263963453,0.657897349
-1.087085652,16.35158737,3584.387496,0.049202493,0.029220539,21.67506272,4.915777577,1834.573184,825.3266408,2287.280304,756.6718627,0.016017508,0.1193185,0.289458665,0.267326378,0.1604421,0.06978316,1.777344019,0.852056286
5.848072784,14.30706855,5712.199218,0.057962489,0.02426135,20.50762324,4.649144961,2730.689713,768.24672,3104.580336,592.8032956,0.00421684,0.062261835,0.402797652,0.290538384,0.28216517,0.09297557,3.466611015,1.301517214
-0.342634423,15.05413268,3945.127302,0.046280767,0.032702345,22.98389685,4.967943658,1949.324611,837.7138083,2537.151699,711.0829052,0.001265292,0.033984523,0.299730325,0.295699256,0.15773875,0.07475312,1.387152433,0.578223142
