mfcc_mean,mfcc_std,rolloff,zero_crossing_mean,zero_crossing_std,contrust_mean,contrust_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,flatness_mean,flatness_std,stft_mean,stft_std,rms_mean,rms_std,poly_mean,poly_std
5.643626964,17.24972743,7180.371244,0.188161116,0.112837651,19.60260854,4.526681829,3581.69325,1082.636878,2859.901703,649.3795724,0.08893246,0.07904059,0.45534712,0.287214631,0.3462735,0.13883926,4.274226849,1.893599033
3.097229542,16.91789608,7720.304885,0.068296801,0.042449198,19.69990519,5.363524246,3522.603569,1550.839105,3865.671022,1177.961366,0.005664419,0.009034397,0.406226917,0.285915286,0.29898977,0.12887599,3.656899468,1.763260856
4.90348802,16.52307952,7207.760787,0.055119226,0.039785926,18.18682194,4.589540525,3298.961492,1692.402724,3969.333027,1345.395128,0.009897865,0.013258811,0.481035098,0.270676266,0.3282739,0.16317669,3.884083006,2.267435546
3.405097685,16.02592958,8948.550753,0.076487567,0.0479523,18.94754603,4.930445218,4121.854311,1651.877657,4457.669822,1125.945504,0.013709113,0.019814221,0.412851863,0.279117647,0.2776329,0.16141373,3.391436998,1.882089556
4.126617167,17.17892209,7971.902167,0.071836895,0.050588216,19.86362076,5.031283576,3693.048465,1565.503736,3998.668619,1095.01004,0.010168366,0.06414127,0.421650081,0.286577078,0.27664158,0.1046749,3.300334882,1.378852768
6.538710319,15.85020814,9842.746485,0.084222771,0.054440616,19.18852343,4.721071148,4481.606514,1512.664045,4513.250079,1136.759493,0.008549131,0.021693768,0.565744334,0.262919842,0.29421866,0.12052086,3.44730989,1.343523756
5.277114838,15.28835876,6760.46269,0.05182761,0.044007247,16.82014951,3.860951419,3180.635889,1513.160683,4005.206105,952.9273204,0.011990768,0.029276354,0.447804355,0.287801882,0.2981118,0.12233142,2.968524116,1.394098852
5.018395375,16.94732917,6866.776888,0.065479108,0.041404109,20.61719817,4.610259787,3250.300254,1424.420125,3631.052361,1073.743782,0.002962563,0.005102072,0.431602979,0.278533831,0.2394179,0.1027761,2.800167331,1.265560055
3.982684264,16.04263708,9279.154903,0.080456119,0.057520959,19.795687,4.830439191,4224.134385,1334.068297,4464.084598,835.7612415,0.007541463,0.012619948,0.464273765,0.283494156,0.25851184,0.14686346,2.990758536,1.450627441
5.942218957,16.68750457,8474.610391,0.05722463,0.051825346,20.11847796,4.600360783,3669.784885,1465.86806,4333.541282,982.8349996,0.005019536,0.02431681,0.539152546,0.276307734,0.32043976,0.10282277,3.288825373,1.342565447
5.858536565,14.86570284,10915.60891,0.111173012,0.049755236,18.01705894,4.472546994,5270.826316,1305.031751,4937.686524,886.0797529,0.028366905,0.0488899,0.514862757,0.27401983,0.34906635,0.11699259,4.937055673,1.724545334
4.335534526,17.85177032,8804.95523,0.067460323,0.05300218,19.10868273,4.921529073,4001.004165,1538.45349,4387.340356,1011.025874,0.007073907,0.011523527,0.49533753,0.301001646,0.28216606,0.1725246,2.899419782,1.914098538
3.656370355,17.88894818,7070.164383,0.054841727,0.0423691,21.58583972,5.378908392,3097.966317,1457.314768,3473.308131,1265.314741,0.015530436,0.12075841,0.441651425,0.285108034,0.27280748,0.10666433,2.825282943,1.037497733
4.6179352,17.34236764,7728.056763,0.071048609,0.064556893,19.90224881,4.822386756,3645.768663,2049.898441,4060.815991,1447.89783,0.009224058,0.015536496,0.493014817,0.270832607,0.260194,0.13544849,2.772583995,1.709725353
7.447737393,18.08212213,9307.905078,0.071051746,0.04658304,19.23037258,4.66844341,4352.538929,1775.935576,4308.261659,1268.399665,0.008198067,0.01410536,0.547041693,0.259766022,0.36622587,0.105510965,4.224078026,1.589471358
3.030004429,16.5490305,5067.961322,0.033208911,0.024537763,19.63757243,5.219037624,2324.58836,1348.037119,3248.062668,1400.80937,0.003580267,0.006942537,0.455779135,0.279653072,0.32729775,0.14563012,3.298749334,1.810561422
0.334038062,19.31133447,9131.234665,0.09591245,0.064609576,19.88245341,4.862388523,4396.352663,1815.23128,4268.591131,1276.660453,0.015540396,0.0642806,0.461934852,0.300835807,0.21071018,0.1364346,2.81565977,1.699756638
0.312992718,19.20907503,5608.035067,0.040537407,0.038134761,21.0003977,6.431484186,2557.586947,1842.608512,3155.382973,1776.507724,0.00672782,0.057794448,0.472472424,0.281999135,0.23109257,0.15914723,1.995257498,1.19682213
-1.507255087,20.86277382,6829.15914,0.078702785,0.049635309,20.25639073,5.042558958,3346.471216,1571.465416,3335.320386,1180.041083,0.004056427,0.00875305,0.43458868,0.271393549,0.18858808,0.11297727,2.577888771,1.752919718
-0.278763326,18.23669024,6875.69706,0.076503299,0.04750566,21.50772839,4.972906925,3149.303763,1383.50705,3512.595945,915.4166808,0.005636847,0.04999556,0.35979621,0.279184559,0.23859525,0.08745461,3.004980242,1.298558934
2.342962851,17.16944417,6956.902382,0.053933149,0.032938841,20.45621366,5.020058739,3003.541998,1146.057828,3608.774609,934.248115,0.003294531,0.044130277,0.467491842,0.278163585,0.23040849,0.12666452,2.631378543,1.721962603
5.007139132,15.86513845,8590.697004,0.088580819,0.059694185,18.01740399,4.402502923,4184.027765,1787.874995,4222.138461,976.7957633,0.02150981,0.032316215,0.443354336,0.292651144,0.3755445,0.12655665,4.866686545,1.899219543
-0.837073532,15.79771577,7489.954861,0.069513095,0.04035407,21.60299506,4.549205901,3379.174387,1355.227353,3794.203129,1003.160352,0.004039706,0.012130629,0.378741212,0.278823211,0.19984548,0.11882256,2.508552421,1.626486013
6.212717909,16.09746934,10637.74217,0.089583887,0.051070636,18.10260256,4.655555219,4982.547984,1153.955757,4847.803338,899.4920974,0.015852226,0.018651344,0.550949504,0.274827895,0.37433362,0.14776947,4.569768708,1.88325524
5.269456613,17.91918475,7739.106546,0.077637935,0.052406704,19.99132633,5.426435134,3606.717329,1521.714506,3843.620771,982.3559895,0.007357942,0.016905265,0.461409885,0.288367291,0.33019164,0.1258495,4.041649319,1.650341769
0.247482362,15.92223615,6306.87567,0.060606605,0.051316092,19.30682988,4.583410385,3006.173823,2084.630432,3566.855969,1587.167725,0.008550218,0.033450734,0.438610058,0.289821307,0.14352627,0.076765135,1.659235345,0.939628903
1.913929353,18.39785886,5950.294799,0.052697928,0.043026561,20.41837818,5.359442959,2814.110392,1397.89685,3498.170037,949.5363423,0.005808423,0.05598625,0.395363712,0.316247372,0.22360846,0.0899057,2.006015309,0.774629031
6.298722207,12.62534239,9197.626956,0.086236237,0.059352224,18.34837502,4.059842081,4437.406553,1234.024653,4284.025115,634.1105131,0.009838259,0.012354258,0.649818548,0.243270099,0.27232572,0.0947234,3.460731631,1.324379622
3.716972802,16.60758622,8759.422959,0.098907449,0.066004028,19.80586231,4.250094837,4260.136129,1365.221679,3961.636695,751.6868992,0.005328799,0.053162016,0.556261756,0.274738916,0.23061235,0.084977694,3.005503983,1.243172184
2.455140479,18.40397672,9219.380244,0.100723272,0.093893961,19.99773722,4.735269229,4385.500433,2030.564202,4420.16255,933.1919015,0.015268919,0.040460866,0.563288074,0.271663274,0.22513285,0.12084853,2.528243922,1.232169411
4.570380924,16.25152969,6469.520174,0.051590244,0.033456452,19.45895413,4.29479388,2928.184814,1284.976273,3453.065233,984.0534671,0.001023777,0.00885258,0.477798177,0.289267682,0.25143632,0.12346272,2.802702599,1.391462593
-2.315491616,20.04716372,4810.52599,0.045097628,0.035497723,20.75365676,5.556915472,2316.409439,1442.013695,2859.39229,1283.496615,0.001514466,0.01533228,0.363018466,0.279812918,0.21577236,0.12157442,2.251188506,1.359756821
4.694690848,18.35809833,7404.014975,0.050188668,0.03940347,19.41762028,4.630228543,3268.699098,1829.041243,3882.547473,1476.230945,0.004142249,0.028764248,0.476407022,0.274905952,0.26914087,0.1373274,2.781064417,1.404201758
5.087585287,16.16584056,7599.942391,0.063192318,0.03653313,19.43662399,4.923224598,3383.184661,1259.202877,4004.753453,1055.128,0.006937392,0.05483261,0.408310983,0.274535608,0.26252738,0.13633394,3.020003742,1.338626318
2.072226051,21.25523572,9593.119396,0.107050021,0.098152981,19.28865404,5.144060966,4730.566227,2135.668038,4407.884904,1082.970395,0.014951213,0.02508031,0.538696594,0.299435562,0.29478458,0.1628294,3.019527445,1.614905012
5.684735764,17.61002956,10203.31563,0.089526028,0.046316802,18.78439806,4.988071746,4547.106367,1579.687064,4792.334668,1178.866934,0.018237052,0.07165784,0.492870528,0.28529381,0.31511858,0.1318173,4.100118787,1.801603199
3.183699121,18.64243143,9744.252959,0.107156505,0.055230432,18.87560342,5.32004427,4756.191657,1617.006035,4445.76178,1243.384874,0.024188355,0.0323752,0.457818956,0.287801558,0.2934829,0.108586214,4.140831499,1.77929787
7.13702469,16.37627227,7069.391215,0.058494236,0.035715799,19.0136015,4.861072951,3154.268138,1326.980145,3462.961443,1081.010549,0.004991082,0.055620674,0.458587133,0.27195476,0.3580824,0.10205898,4.187939751,1.492492194
3.939075533,16.52439414,7500.925485,0.075387009,0.047803724,20.01964603,4.849564662,3440.669077,1389.190453,3566.109259,984.8200566,0.002522568,0.04217694,0.429142363,0.292646898,0.23348063,0.13047288,2.72614299,1.314815387
1.090123536,19.99625905,8257.590754,0.098714455,0.069659697,18.93358342,5.207508274,4075.316221,1444.863715,3804.257926,718.7262809,0.013142779,0.06725668,0.544192735,0.285528676,0.347963,0.16653217,4.490545034,2.378308878
4.681783679,17.25601433,7218.486544,0.064928471,0.047504753,19.898322,4.722292529,3341.540883,1472.983811,3758.427071,1027.220318,0.004953604,0.017103687,0.410906543,0.282152258,0.2977687,0.12293779,3.755802944,2.000280334
4.363688082,18.06059378,10644.66815,0.104266218,0.064726674,19.089691,5.382300025,5079.205977,1549.42039,4722.4726,1012.772951,0.020816265,0.031628143,0.476068154,0.295399239,0.34087414,0.14657721,4.302016533,1.986577777
0.312914162,20.66829111,6367.392293,0.07019229,0.077003107,20.17434435,5.202145043,3142.388421,1814.924668,3239.694263,1191.566758,0.004559313,0.009939545,0.422208711,0.295574064,0.24199194,0.13727531,2.918200925,1.938768049
3.256616942,17.42535344,7645.228089,0.070464942,0.04292796,19.5028618,4.904451866,3552.72583,1344.104275,3696.603712,1059.798494,0.003720841,0.016907297,0.475772713,0.28763159,0.24340095,0.1185628,2.976816088,1.585640406
2.73582043,19.34239847,7910.741253,0.080018111,0.049237122,18.9498121,5.505086026,3748.473211,1683.471246,3826.463001,1480.509516,0.010250215,0.03041721,0.494526888,0.2876543,0.2478016,0.14013058,3.018898552,1.716254295
5.084552698,14.92805009,8382.285962,0.080987827,0.045408841,19.32499327,4.650477936,3856.359569,1195.315333,4064.097457,758.8687014,0.004822448,0.006048991,0.466663436,0.270851698,0.29825637,0.12069427,4.036939217,1.764710538
1.830814629,17.76130951,8037.496245,0.081192297,0.08232235,19.02046058,4.838252664,3791.41083,1809.823407,3931.321451,966.6585462,0.011777683,0.049164657,0.497788988,0.283957519,0.2600677,0.15453541,3.08091227,1.896624952
2.787319373,21.17813155,7728.843339,0.082102829,0.058888974,17.50275753,5.335385003,3832.812265,2129.268425,3793.86234,1591.374721,0.025454871,0.043135826,0.454671351,0.302656979,0.33560494,0.17816459,4.467093612,2.814606721
2.779390822,17.12384804,7392.015693,0.067900703,0.044017513,20.87468365,5.288752589,3304.252941,1351.178983,3624.374926,1015.839494,0.008798326,0.082306765,0.449453469,0.272973685,0.22860497,0.12812606,2.576362797,1.28177986
3.11319758,17.12127023,5369.109691,0.046517003,0.037904693,19.94081866,4.999629062,2499.750818,1178.419769,3059.531131,941.7716924,0.002678745,0.026393833,0.432556011,0.297886592,0.3122249,0.16088322,3.362946887,2.034088996
4.497243313,17.46174447,9522.405063,0.076849837,0.038538732,18.22819968,4.735431875,4450.313834,1573.386571,4439.047836,1256.452041,0.01584675,0.03049211,0.49250907,0.288506906,0.312698,0.1433057,4.005177275,1.928582903
3.659270362,13.44958633,7538.823057,0.060410032,0.030595038,20.45170655,4.207990688,3436.566683,1256.39991,3873.340628,1118.219375,0.004408647,0.02202152,0.466344656,0.265269774,0.27979812,0.08578418,3.420106702,0.976207597
3.260431892,17.82529986,7321.191862,0.063759926,0.053626605,18.4896507,4.851405519,3434.44655,1274.636571,3786.398123,902.9152214,0.005513981,0.011966481,0.548276075,0.300248418,0.30405578,0.14694208,3.262857039,1.689368774
