mfcc_mean,mfcc_std,rolloff,zero_crossing_mean,zero_crossing_std,contrust_mean,contrust_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,flatness_mean,flatness_std,stft_mean,stft_std,rms_mean,rms_std,poly_mean,poly_std
-7.479591636,16.00546924,1383.139924,0.041215928,0.023512926,23.52109434,4.478199138,823.262591,379.9424001,1225.202641,363.5747733,0.006782999,0.07940596,0.264784227,0.283489849,0.054742537,0.044239044,0.503359189,0.437261886
-3.855251747,11.93559696,1061.860035,0.018233987,0.013696456,19.91669321,3.69614959,691.3393148,578.8107383,1194.957538,627.7280679,0.000553976,0.009532808,0.375825095,0.269355602,0.12666753,0.05362602,1.028382872,0.431633033
-15.59209424,14.69351415,1557.251347,0.036668258,0.091164983,21.92514051,4.377021594,1059.290325,1857.068286,1430.067574,1214.208263,0.001936111,0.014285005,0.25450944,0.271206897,0.089125715,0.053501993,0.571721407,0.365564179
-7.606953506,14.07328439,1503.077981,0.023983915,0.008718498,20.27597707,4.942589771,836.4021506,622.676239,1021.798219,825.7237811,0.011326453,0.10445766,0.34509676,0.274695791,0.081840776,0.04904535,0.749418685,0.489448382
-13.37478058,19.32908323,2543.225144,0.035905819,0.034526741,20.02302091,5.416284526,1399.702955,1323.598174,1897.806652,1336.585709,0.026949083,0.1565879,0.324414309,0.302502115,0.050288986,0.053904466,0.48229489,0.560104902
-16.70074589,16.00260488,1905.341337,0.029605599,0.014424296,18.80768577,4.950421971,1110.365538,941.4142139,1556.652397,1193.782206,0.02285785,0.14534083,0.330804282,0.299972092,0.026821235,0.02778163,0.225376544,0.22429622
-9.269534336,15.53906527,2210.057424,0.036135388,0.014693178,21.31641446,5.163527547,1216.110359,1074.684332,1341.270108,1121.384062,0.003743992,0.045469288,0.312396457,0.27908681,0.065683216,0.037305377,0.636398045,0.374297969
-7.971468331,18.58197502,1450.648111,0.026298917,0.01137018,20.83016974,5.833365968,876.3541452,439.6025036,1202.567575,720.9221233,0.000367218,0.012485058,0.344653734,0.288489699,0.0899189,0.06843776,0.824084447,0.687262927
-13.74094431,14.46833113,2223.772388,0.032836157,0.016156825,20.54510605,4.987429651,1222.740788,821.0538073,1449.405512,862.4862967,0.010439794,0.09603213,0.327223505,0.280299639,0.049482968,0.030466877,0.477423319,0.299437732
-12.94384378,16.05595601,1695.665891,0.034375222,0.016914096,21.77672671,5.37172417,1014.092495,608.3293609,1145.115122,491.1177069,0.039695296,0.19362223,0.269489333,0.278104785,0.03239558,0.016173622,0.290664485,0.154832522
-14.24349944,16.51899845,1978.238313,0.033655556,0.018090186,19.55256484,4.988801318,1168.006567,930.6540722,1536.068312,1042.542398,0.008013887,0.08283097,0.306851515,0.295897896,0.036682915,0.032124933,0.33077723,0.312503991
-11.85465122,15.46077129,1336.362379,0.027711066,0.010495199,20.47079034,5.13085928,840.5696971,226.6054909,1020.501772,487.0473922,0.014177955,0.118184894,0.297391051,0.287176355,0.04310973,0.030760892,0.382312322,0.296770922
-5.44236332,13.26848663,1688.109787,0.02477873,0.008464629,20.7686164,4.695680543,962.125561,658.2551898,1205.751435,753.0215633,0.001985493,0.040922336,0.342660019,0.289091728,0.09396123,0.044334203,0.841560268,0.405429613
-13.44091689,15.82445297,1675.125453,0.029363734,0.013028707,21.0609954,5.284141571,967.8471874,954.0054983,1254.659887,1099.675831,0.0013689,0.020996004,0.296671857,0.283547481,0.040290054,0.033166707,0.338440533,0.30265668
-7.89849236,14.11127445,1469.537905,0.027862082,0.009347041,20.84460099,4.523114936,862.891609,450.9024643,965.0928715,671.648514,0.003207724,0.055162936,0.29217044,0.271970834,0.070870854,0.037271798,0.633597785,0.372297825
-13.93150593,14.99451914,1867.811967,0.036557887,0.028312252,20.94786195,4.962424419,1125.853656,1032.521079,1254.208182,905.341852,0.009015164,0.07794947,0.298535812,0.282009922,0.034106474,0.020187277,0.31255053,0.182437686
-5.506766766,14.91525766,1667.867691,0.029430065,0.010064622,20.69526846,4.931541674,943.8689195,501.9145065,1093.916153,766.5051125,0.024705376,0.15466672,0.325663113,0.276371967,0.083993815,0.043098312,0.840132408,0.469043987
-9.744006607,15.14947783,1401.557756,0.025625939,0.009787717,20.52007457,5.033451131,810.5024642,408.0107776,977.533274,714.2697981,0.006586293,0.08026955,0.314962597,0.268602206,0.056814853,0.039857335,0.504814396,0.365595853
-16.64432596,17.60559583,2206.788184,0.03940197,0.054643221,21.29265573,5.306582892,1311.10271,1556.75715,1635.293762,1353.531444,0.007643352,0.055203337,0.288268263,0.278987061,0.02777975,0.02147281,0.246809552,0.204461895
-12.42532356,16.22395432,1427.000468,0.025964302,0.011784662,21.39132031,5.184152384,860.5191126,706.6938892,1166.47776,879.8640189,0.001529644,0.033682074,0.331788482,0.282012385,0.04208844,0.03415863,0.377575103,0.34018092
-9.367127878,14.51254676,1602.928283,0.030403401,0.012068595,21.19696325,4.837750181,949.1904122,594.9246334,1059.688402,674.8438359,0.01270289,0.110200435,0.293065137,0.250428151,0.08366668,0.053382713,0.721305087,0.444494738
-9.993698284,14.25856219,2015.992853,0.035245671,0.015519848,20.42380803,4.708639906,1140.442399,918.3492752,1236.98336,931.4309861,0.01593459,0.12084734,0.292407816,0.282573409,0.04616903,0.023540786,0.453513336,0.22734183
-8.837467049,16.34162739,1474.06297,0.025547926,0.010601946,19.624298,5.488578557,829.5273831,508.0980409,1015.473066,715.0155008,0.044100188,0.20489578,0.359150065,0.29071324,0.06495489,0.04379282,0.653590785,0.471901834
-16.55801602,17.04747477,2043.708163,0.035372443,0.018529526,20.24264975,5.399987425,1260.167774,1084.28085,1628.646443,1143.13806,0.009261085,0.086819746,0.304995211,0.294783562,0.021115525,0.017060144,0.186054288,0.155977681
-18.93077267,17.78848122,1106.697934,0.027023397,0.012623571,21.07676267,5.732382044,805.7831611,407.1959504,1142.213974,699.3736563,0.025379011,0.15671866,0.282099367,0.291556885,0.03659191,0.0371008,0.286335798,0.320010244
-6.53616332,12.4933657,1412.416503,0.027280637,0.009848328,20.40229382,4.503529319,826.9761924,342.3670429,906.1718108,352.5696498,0.010021556,0.09873879,0.332319404,0.277416067,0.08118256,0.039233007,0.785874465,0.408485768
